service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Firestore,Cloud Firestore Read Ops Jakarta,60833333.333333336,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,22.53875,
Firestore,Cloud Firestore Entity Writes Jakarta,9125000.0,asia-southeast2,F17B-412E-CB64,0518-9538-C614,9.79417,
Firestore,Cloud Firestore Entity Deletes Jakarta,0.0,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Firestore,Cloud Firestore Storage Jakarta,50.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,9.408,
Deploy Back-End API (App Engine),Frontend Instances Jakarta,2.0,asia-southeast2,F17B-412E-CB64,2EC9-5583-ECA8,41.4275,
Cloud Storage,Standard Storage Jakarta,5000.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,115,
,,,,,,,
,,,,,Total Price:,198.16842,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-12T15:27:33.120Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJtTnpRek5XSTRZeTAyWVRsbUxUUmxNamd0WWpBNU1DMDFOVEZoWkRreVptUmhaREFRQVE9PRokREI4Rjg5MUMtM0MzNi00QTBFLThDMEItOTlCNjNFNUMyNDND,,,,,,
